id,clusterkmeans,clustergmm,probcl0,probcl1,probcl2,probcl3,probcl4,probcl5,probcl6,probcl7,probcl8,probcl9,probmax,stability
95,9,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
97,9,7,0.0,0.0,0.0,0.01,0.0,0.0,0.2,0.8,0.0,0.0,0.8,0.6
98,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
99,6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
102,5,3,0.0,0.07,0.0,0.92,0.0,0.0,0.0,0.01,0.0,0.0,0.92,0.85
103,5,3,0.0,0.02,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.96
104,2,1,0.32,0.66,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.34
105,2,0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
106,2,0,0.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.94
107,2,0,0.48,0.48,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.43
108,2,1,0.0,0.99,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.98
109,2,1,0.0,0.71,0.28,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.71,0.43
110,2,1,0.0,0.87,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.87,0.81
111,9,1,0.01,0.5,0.18,0.0,0.0,0.0,0.24,0.0,0.06,0.0,0.5,0.26
112,2,1,0.0,0.5,0.46,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.04
113,2,1,0.0,0.49,0.48,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.49,0.01
341,2,2,0.02,0.3,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.38
342,2,2,0.05,0.33,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.29
347,9,6,0.0,0.04,0.0,0.0,0.0,0.0,0.53,0.0,0.42,0.0,0.53,0.11
348,8,6,0.0,0.0,0.01,0.01,0.0,0.0,0.98,0.0,0.0,0.0,0.98,0.97
349,9,3,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.01,0.0,0.0,0.6,0.2
353,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
354,5,3,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.98
356,5,3,0.0,0.03,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.94
357,2,1,0.0,0.49,0.01,0.12,0.0,0.0,0.02,0.0,0.0,0.36,0.49,0.13
358,0,0,0.93,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.93,0.88
359,2,0,0.98,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.96
360,2,0,0.67,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.34
363,9,1,0.0,0.85,0.0,0.0,0.0,0.0,0.14,0.0,0.01,0.0,0.85,0.71
364,9,1,0.01,0.46,0.33,0.0,0.0,0.0,0.14,0.0,0.07,0.0,0.46,0.13
365,2,2,0.04,0.28,0.64,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.64,0.36
366,2,1,0.0,0.83,0.14,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.83,0.69
593,2,1,0.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.99
